author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
КОРТРОС,developer,https://www.cian.ru/sale/flat/296640098/,Москва,sale,flat,3,49,2,58.94,-1,0,23870700.0,Марьина роща,,,Марьина Роща,Тэйт ЖК
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/302081797/,Москва,sale,flat,2,10,2,69.4,-1,0,79000000.0,Тверской, Палиха,4,Менделеевская,Клубный дом Maison Rouge
ID 32204036,homeowner,https://www.cian.ru/sale/flat/305430394/,Москва,sale,flat,2,22,4,134.5,-1,0,78800000.0,Якиманка,Мытная ,40к1,Серпуховская,Sky House
КОРТРОС,developer,https://www.cian.ru/sale/flat/306567972/,Москва,sale,flat,13,26,2,47.4,-1,0,21519600.0,Останкинский,,,Алексеевская,АйЛав ЖК
ID 108172779,real_estate_agent,https://www.cian.ru/sale/flat/301496936/,Москва,sale,flat,7,8,1,53.2,-1,0,49954800.0,Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN
ID 103466348,real_estate_agent,https://www.cian.ru/sale/flat/306904051/,Москва,sale,flat,5,12,2,51.3,-1,0,11800000.0,,,5.1.4,Прокшино,Прокшино ЖК
КОРТРОС,developer,https://www.cian.ru/sale/flat/307496284/,Москва,sale,flat,40,49,1,36.97,-1,0,18115300.0,Марьина роща,,,Марьина Роща,Тэйт ЖК
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/293126875/,Москва,sale,flat,21,23,4,244.1,-1,0,78000000.0,Хорошевский, Гризодубовой,2,ЦСКА,Гранд-парк
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/305914381/,Москва,sale,flat,6,6,4,228.9,-1,0,98000000.0,Басманный,Большой Казенный переулок,2,Курская,
MR Group,developer,https://www.cian.ru/sale/flat/306514766/,Москва,sale,flat,2,27,2,39.52,-1,0,15123041.0,Покровское-Стрешнево,Волоколамское шоссе,95/1к11,Трикотажная,City Bay
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/294559419/,Москва,sale,flat,34,59,4,165.0,-1,0,50500000.0,Ростокино,проспект Мира,188Бк3,Ростокино,Триколор
ID 101036635,homeowner,https://www.cian.ru/sale/flat/307369954/,Москва,sale,flat,3,8,2,65.0,-1,0,31000000.0,Даниловский, Трофимова,1/17,Автозаводская,
КОРТРОС,developer,https://www.cian.ru/sale/flat/296640175/,Москва,sale,flat,5,49,3,79.14,-1,0,31260300.0,Марьина роща,,,Марьина Роща,Тэйт ЖК
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/305736633/,Москва,sale,flat,35,41,3,97.4,-1,0,95000000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
ID 98396578,homeowner,https://www.cian.ru/sale/flat/307621377/,Москва,sale,flat,1,9,2,44.0,-1,0,16800000.0,Красносельский,Протопоповский переулок,38,Площадь трёх вокзалов,
КОРТРОС,developer,https://www.cian.ru/sale/flat/306568424/,Москва,sale,flat,34,37,1,28.5,-1,0,20206500.0,Останкинский, Годовикова,11к5,Алексеевская,iLove
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/306151519/,Москва,sale,flat,5,8,3,123.0,-1,0,76900000.0,Тверской,Сущевская ,31,Менделеевская,
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/306604445/,Москва,sale,flat,6,7,4,160.0,-1,0,99999000.0,Тверской,Тверская ,27С2,Маяковская,
MR Group,developer,https://www.cian.ru/sale/flat/306515308/,Москва,sale,flat,2,27,1,40.1,-1,0,14757511.0,Покровское-Стрешнево,Волоколамское шоссе,95/1к6,Трикотажная,City Bay
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/307384349/,Москва,sale,flat,12,20,3,87.7,-1,0,89000000.0,Пресненский,Мантулинская ,9к5,Москва-Сити,City Park
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307116678/,Москва,sale,flat,4,8,4,132.0,-1,0,91000000.0,Мещанский,Большой Сухаревский переулок,11,Сухаревская,
КОРТРОС,developer,https://www.cian.ru/sale/flat/306568032/,Москва,sale,flat,3,26,3,61.8,-1,0,33124800.0,Останкинский,,,Алексеевская,АйЛав ЖК
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/306652678/,Москва,sale,flat,4,18,2,68.5,-1,0,46500000.0,Беговой,Ленинградский проспект,29к3,Петровский Парк,Царская площадь
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/301064989/,Москва,sale,flat,6,7,4,127.1,-1,0,67000000.0,Тверской,Тверская ,27С2,Маяковская,
MR Group,developer,https://www.cian.ru/sale/flat/306515607/,Москва,sale,flat,5,48,3,56.42,-1,0,19757175.0,Покровское-Стрешнево,Волоколамское шоссе,95/1к1,Трикотажная,City Bay
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/305070032/,Москва,sale,flat,37,41,3,82.3,-1,0,82500000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/307389742/,Москва,sale,flat,2,7,4,144.3,-1,0,79999999.0,Мещанский,Троицкая ,13,Цветной бульвар,
КОРТРОС,developer,https://www.cian.ru/sale/flat/307731133/,Москва,sale,flat,27,49,4,109.76,-1,0,55319040.0,Марьина роща,,,Марьина Роща,Тэйт ЖК
