author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Садовое кольцо,developer,https://ufa.cian.ru/sale/flat/302077155/,Уфа,sale,flat,7,30,2,59.88,-1,0,10036607,Октябрьский,,,,Урман Сити ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/286060970/,Уфа,sale,flat,3,5,2,45.6,-1,0,3699000,Орджоникидзевский, Богдана Хмельницкого,70,,
ID 42135174,homeowner,https://ufa.cian.ru/sale/flat/307144551/,Уфа,sale,flat,3,9,1,34.3,-1,0,3500000,Орджоникидзевский, Шота Руставели,26,,
Садовое кольцо,developer,https://ufa.cian.ru/sale/flat/302975403/,Уфа,sale,flat,3,30,1,40.27,-1,0,7438594,Октябрьский,,,,Урман Сити ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/289853471/,Уфа,sale,flat,2,5,2,43.2,-1,0,5370000,Орджоникидзевский, Блюхера,6/2,,
ID 111824820,homeowner,https://ufa.cian.ru/sale/flat/307453070/,Уфа,sale,flat,7,9,2,52.0,-1,0,4780000,Октябрьский, 50 лет СССР,40,,
Садовое кольцо,developer,https://ufa.cian.ru/sale/flat/302077419/,Уфа,sale,flat,5,16,2,55.09,-1,0,8771154,Кировский,Зеленая Роща жилрайон,,,Терле Парк ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/294071017/,Уфа,sale,flat,8,25,2,47.4,-1,0,7500000,Советский, Минигали Губайдуллина,2,,URBANIСA
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/284352502/,Уфа,sale,flat,9,9,3,60.3,-1,0,5400000,Кировский, Менделеева,9/2,,
Садовое кольцо,developer,https://ufa.cian.ru/sale/flat/306656162/,Уфа,sale,flat,19,32,2,55.1,-1,0,9769506,Октябрьский,Глумилино-1 мкр,,,Тау Хаус ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/294905443/,Уфа,sale,flat,14,24,2,58.1,-1,0,8000000,Кировский,Бакалинская ,,,Iremel Tower
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/290491620/,Уфа,sale,flat,3,9,3,63.4,-1,0,5500000,Октябрьский, Маршала Жукова,5/1,,
СтроиТЭК,developer,https://ufa.cian.ru/sale/flat/306613236/,Уфа,sale,flat,2,24,2,41.4,-1,0,6005070,Кировский, Бородинская,19/1,,SVOBODA
ID 57842840,homeowner,https://ufa.cian.ru/sale/flat/307524070/,Уфа,sale,flat,5,10,2,46.0,-1,0,7300000,Октябрьский, Рудольфа Нуреева,23,,
ID 73934744,homeowner,https://ufa.cian.ru/sale/flat/306584225/,Уфа,sale,flat,4,5,2,48.6,-1,0,4999999,Советский, Акназарова,25,,
Садовое кольцо,developer,https://ufa.cian.ru/sale/flat/306656179/,Уфа,sale,flat,2,27,1,37.74,-1,0,6688849,Кировский,Зеленая Роща жилрайон,,,Терле Парк ЖК
